Input.post,Input.targetMinority,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
What do you call a white guy surrounded by a thousand black guys? A warden,"[""black folks""]",black folks are inferior,"Black men are often associated with criminal behavior and violence, while white men are seen as authority figures who control and monitor them",The stereotype communicated is that African Americans are criminals,black men are criminals,rank_3,rank_1,rank_2,rank_4,baseline,chatgpt,text-davinci-003,human,sbic
Hey #Sweden how you liking those immigrants now? #Stockholm Wonder how many will say it's not radical islamic terro… https://t.co/7V9UWL3S5f,"[""immigrants"", ""muslim folks"", ""muslim folks, immigrants""]",The stereotype that this sentence communicates is that immigrants are terrorists,"Swedes are known for being welcoming and tolerant of immigrants, but there is a growing concern over the number of radical Islamic terrorists in the country",muslim folks are terrorists,are not radical islamic,rank_1,rank_4,rank_2,rank_3,text-davinci-002,text-davinci-001,human,baseline,sbic
What do you call a black spider? No daddy long legs,"[""black folks""]",black folks are inferior,Black spiders are often considered to be dangerous and poisonous,This sentence communicates the stereotype that black people are spiders,black folks do not have good families,rank_2,rank_4,rank_3,rank_1,baseline,text-davinci-001,text-davinci-002,human,sbic
"College is only enjoyable if you're a woman
 That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]",Women are the only ones who can fully enjoy the sexual aspect of college,have a lot of sex,Women are seen as more likely to enjoy college than men,women are inferior,rank_1,rank_2,rank_4,rank_3,chatgpt,human,text-davinci-003,baseline,sbic
Most white kids i know believe they are superior and they freak out whenever a black guy is fighting a white .,"[""white folks""]",The stereotype that this sentence communicates is that white people are racist,white folks are better than others,"Many white kids believe they are superior to other races and when they see a black person fighting a white person, they get scared because they think the black person will win",black folks are inferior,rank_1,rank_3,rank_2,rank_4,text-davinci-002,human,text-davinci-001,baseline,sbic
"Who invented the triathlon? Black people.
 
 They walk on foot to the pool, swim, and come back with a bike.","[""black folks""]",The stereotype is that black people are not able to do triathlons,The triathlon is a physical activity that is often used to promote healthy health,all black people can run fast,The stereotype communicated by this sentence is that black people are physically fit and can do a lot of physical activity,rank_4,rank_3,rank_2,rank_1,text-babbage-001,text-ada-001,human,text-curie-001,sbic
I was told I can buy anything from the black market But they were only selling cotton,"[""black folks""]",The stereotype communicated by this sentence is that the black market is filled with dangerous and illegal items,black folks are property,The stereotype that this sentence communicates is that black people are not allowed to buy anything from the black market,The stereotype that this sentence communicates is that black people are lazy and stupid,rank_4,rank_1,rank_3,rank_2,text-curie-001,human,text-babbage-001,text-ada-001,sbic
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]",are pests,The stereotype that this sentence communicates is that homeless people are an infestation to big cities,group are like rats and cause problems,Homeless people are dirty and dangerous,rank_3,rank_1,rank_4,rank_2,baseline,text-davinci-002,human,text-davinci-001,sbic
"College is only enjoyable if you're a woman
 That much is obvious, only women can fully enjoy the sexual aspect, but, y'all know that already","[""women""]",The stereotype that college is only enjoyable for women is that it is a place where women can only enjoy the sexual aspect,have a lot of sex,The stereotype that this sentence communicates is that men enjoy sex more than women,The stereotype communicated by this sentence is that only women can fully enjoy the sexual aspect of college,rank_2,rank_3,rank_4,rank_1,text-babbage-001,human,text-ada-001,text-curie-001,sbic
Life is like a box of choclate It dosent last as long for fat people,"[""overweight/fat folks""]",fat people are useless,The stereotype that this sentence communicates is that fat people are not as good as thin people,don't live as long as others,"Fat people are not as healthy as thin people, and they do not live as long",rank_4,rank_3,rank_2,rank_1,baseline,text-davinci-002,human,text-davinci-001,sbic
